Disease,Symptoms,Treatment,Prevention,Diagnosis
Hypocalcaemia,"muscle tremors, recumbency",Calcium injection,Calcium-rich diet,Blood test
Anthrax,"bloody discharge from orifices, red-stained milk or urine",High doses of penicillin (early cases),Vaccination (requires approval),"Quick 'penside' test, lack of rigor mortis"
Bovine Respiratory Disease,coughing,"Antibiotics, vitamin C, NSAIDs","Vaccination, minimize stress","Nasal swabs, post-mortem lung exam"
Lice,"itching, rubbing, visible lice",Pour-on treatment,Isolate infested cattle,Visual exam
Coccidiosis,"black diarrhoea, straining, dehydration",Sulphadimidine,"Water/feed off ground, ionophores",Faecal sample
Heat Stress,"panting, foaming","Cool environment, water, shade",Good management in heat,Panting score
Leptospirosis,red urine,Antibiotics,Vaccination,"Blood test, post-mortem"
Grass Tetany,stiff gait,Magnesium sulphate injection,Magnesium supplements,Blood/urine test
Foot and Mouth Disease,drooling,No effective treatment,"Biosecurity, avoid contaminated meat/products","Clinical signs, report to authorities"
Acidosis,"stop eating, diarrhoea, bloating, dehydration, recumbency","Bicarbonate drench, fluids, euthanasia (severe)","Gradual diet change, roughage","Feed history, rumen content"
Heat Stress,"panting, drooling, foaming","Cool environment, water, shade",Good management in heat,Panting score
Nitrate Poisoning,collapse,"Remove from source, vet care",Avoid nitrate-rich feed,Plant/serum sample
Papillomatosis,"warts, may affect reproduction","Usually self-cure, surgical removal",Vaccination,"Visual exam, biopsy"
Malignant Catarrhal Fever,"high fever, cloudy eyes",Supportive care,Avoid sheep contact,Blood/tissue sample
Diarrhoea (Neonatal),"diarrhoea, sunken eyes","Fluids, electrolytes, antibiotics","Colostrum, hygiene, vaccination",Faecal sample
Bloat,"distended flank, mouth breathing","Stomach tube, trochar in severe cases","Anti-bloat oil, hay before pasture","Distended abdomen, history"
Leptospirosis,"abortion, jaundice, red urine",Antibiotics,Vaccination,"Blood test, post-mortem"
Lumpy Skin Disease,nodules,No effective treatment,"Vector control, biosecurity",Lab sample testing
Bovine Johne’s Disease,"weight loss, diarrhoea",No treatment,"Vaccination, avoid exposure to infected cattle","Serum/faecal sample, post-mortem"
Lumpy Skin Disease,"fever, discharge",No effective treatment,"Vector control, biosecurity",Lab sample testing
Perennial & Annual Ryegrass Toxicity,"staggering, convulsions",Move to safe paddock,Pasture management,"Ryegrass test, clinical signs"
Lumpy Skin Disease,abortions,No effective treatment,"Vector control, biosecurity",Lab sample testing
Coccidiosis,dehydration,Sulphadimidine,"Water/feed off ground, ionophores",Faecal sample
Eye Cancer,"ulcers, bleeding, weeping eye",Surgical removal,Select pigmented cattle,Clinical signs
Acidosis,bloating,"Bicarbonate drench, fluids, euthanasia (severe)","Gradual diet change, roughage","Feed history, rumen content"
Copper Deficiency,"loss of hair pigment, ataxia, diarrhoea",Copper supplementation,"Quality feed, supplements","Liver biopsy, feed analysis"
Pink Eye,eye discharge,"Antibiotics, eye patch","Fly control, vaccines",Visual exam
Phalaris Toxicity,"heart attack, staggering",No treatment,Cobalt supplementation,Post-mortem brain exam
Foot and Mouth Disease,mouth and hoof blisters,No effective treatment,"Biosecurity, avoid contaminated meat/products","Clinical signs, report to authorities"
Foot Abscess,"lameness, pus","Hoof trimming, antibiotics","Dry, clean ground",Hoof exam
Heat Stress,"panting, drooling","Cool environment, water, shade",Good management in heat,Panting score
Bovine Johne’s Disease,"weight loss, still eating",No treatment,"Vaccination, avoid exposure to infected cattle","Serum/faecal sample, post-mortem"
Diarrhoea (Adult),fever,"Fluids, antibiotics, dietary changes","Hygiene, dietary fiber","Faecal sample, blood test"
Lice,"itching, rubbing",Pour-on treatment,Isolate infested cattle,Visual exam
Nitrate Poisoning,death,"Remove from source, vet care",Avoid nitrate-rich feed,Plant/serum sample
Lumpy Skin Disease,"fever, weight loss",No effective treatment,"Vector control, biosecurity",Lab sample testing
Bovine Viral Diarrhoea Virus,diarrhoea,"Monitor, euthanise PI cattle","Vaccination, avoid PI exposure",Blood/milk/tissue samples
Lumpy Skin Disease,weight loss,No effective treatment,"Vector control, biosecurity",Lab sample testing
Botulism,"muscle weakness, tongue paralysis",Supportive care,Vaccination,"History, feed sample analysis"
Diarrhoea (Neonatal),"lethargy, sunken eyes","Fluids, electrolytes, antibiotics","Colostrum, hygiene, vaccination",Faecal sample
Lead Poisoning,"blindness, unresponsive",Early veterinary care,Avoid lead exposure,"Blood test, post-mortem"
Hardware Disease,ill-thrift,"Magnet, surgery",Avoid metal contamination,"Manual exam, clinical signs"
Phalaris Toxicity,head nodding,No treatment,Cobalt supplementation,Post-mortem brain exam
Heat Stress,panting,"Cool environment, water, shade",Good management in heat,Panting score
Acidosis,"dehydration, recumbency","Bicarbonate drench, fluids, euthanasia (severe)","Gradual diet change, roughage","Feed history, rumen content"
Bloat,mouth breathing,"Stomach tube, trochar in severe cases","Anti-bloat oil, hay before pasture","Distended abdomen, history"
Lumpy Skin Disease,fever,No effective treatment,"Vector control, biosecurity",Lab sample testing
